NSID	GRIDID	W9SEOF	W9CHDSEEFREO	W9CHDSEEFREOP	W9CHDMAINO	W9CHDDECO	W9SEX	W9RAGE
NS15653J	27	10	-1	-1	1	5	1	0
NS15662C	11	10	-1	-1	1	5	1	12
NS15662C	12	10	-1	-1	1	5	2	10
NS15662C	13	10	-1	-1	1	5	2	7
NS15664E	11	8	-1	-1	3	1	2	10
NS15694N	11	8	-1	-1	3	1	1	10
NS15694N	12	8	-1	-1	3	1	2	9
NS15711F	11	2	2	1	1	4	1	12
NS15711F	26	2	2	3	1	4	2	6
NS15774B	26	1	4	1	1	5	2	1
NS15775C	11	6	0	-8	3	1	2	11
NS15787Z	11	3	2	1	2	2	1	14
NS15789B	26	4	-9	-9	-9	-9	1	7
NS15789B	27	-9	-9	-9	-9	5	2	3
NS15797T	12	8	-1	-1	3	1	1	15
NS15797T	26	3	1	1	1	3	1	5
NS15833Z	11	9	-1	-1	-1	-1	2	9
NS15840Q	26	1	0	6	1	4	2	8
NS15840Q	27	1	0	6	1	4	2	5
NS15842S	26	1	0	-9	3	4	1	1
NS15848Z	26	4	2	2	2	1	2	2
NS15869P	26	3	2	2	2	4	1	5
NS15869P	27	2	2	2	2	4	1	1
NS15890N	26	10	-1	-1	3	5	2	6
NS15890N	27	10	-1	-1	3	5	2	4
NS15893R	11	8	-1	-1	3	1	2	10
NS15898X	26	10	-1	-1	1	5	1	10
NS15898X	27	10	-1	-1	1	5	2	5
NS15904T	11	4	2	4	2	2	2	14
NS15904T	12	4	2	4	2	2	2	10
NS15938G	11	3	2	2	1	3	2	10
NS15938G	12	4	2	2	1	3	1	12
NS15938G	26	2	-9	-9	1	5	1	3
NS15955S	26	5	6	3	3	2	1	7
NS15993T	11	8	-1	-1	3	1	1	14
NS16009A	26	3	1	1	2	2	1	6
NS16009A	27	3	1	1	2	2	2	1
NS16009A	28	3	1	1	2	2	2	1
NS16057W	11	2	0	-8	3	3	2	9
NS16061J	26	-9	-9	-9	-9	5	-9	4
NS16061J	27	-9	-9	-9	-9	5	1	0
NS16062K	26	1	300	6	3	3	1	11
NS16062K	27	2	300	6	3	3	2	6
NS16064M	27	1	0	6	3	1	2	4
NS16071D	26	10	-1	-1	1	5	2	3
NS16078L	26	8	-1	-1	2	1	2	13
NS16098A	26	9	-1	-1	-1	-1	1	14
NS16098A	27	4	0	6	1	4	1	12
NS16098A	28	2	2	3	1	5	1	6
NS16099B	12	7	0	-9	2	1	1	10
NS16099B	26	7	0	6	3	1	2	3
NS16111N	11	4	2	2	1	1	1	12
NS16161L	26	2	5	2	1	4	1	13
NS16185E	11	2	2	1	1	4	1	9
NS16203Y	26	2	1	1	1	5	2	5
NS16203Y	27	2	1	1	1	5	2	0
NS16216W	26	4	0	6	1	1	2	6
NS16244C	13	4	4	3	1	1	1	8
NS16250S	11	4	2	2	3	3	2	10
NS16259C	26	3	3	1	2	3	1	8
NS16268W	26	6	6	3	1	5	1	4
NS16268W	27	6	6	3	1	5	2	2
NS16269X	26	10	-1	-1	1	5	2	2
NS16269X	27	10	-1	-1	1	5	1	0
NS16279R	12	3	4	2	1	1	1	8
NS16283E	26	10	-1	-1	1	3	2	9
NS16283E	27	10	-1	-1	1	3	2	5
NS16283E	28	10	-1	-1	1	3	1	0
NS16310R	26	9	-1	-1	-1	-1	1	7
NS16313V	11	4	2	2	3	1	2	11
NS16342C	11	10	-1	-1	1	5	2	8
NS16348J	26	10	-1	-1	1	5	1	9
NS16348J	27	10	-1	-1	1	5	1	5
NS16352X	12	4	2	2	1	4	2	9
NS16352X	26	4	2	2	1	4	2	5
NS16374N	11	4	4	2	1	5	2	9
NS16374N	26	4	2	2	1	5	1	2
NS16380D	26	3	4	1	3	3	1	6
NS16390Y	26	1	7	1	3	5	2	1
NS16395D	26	3	0	1	1	3	1	0
NS16422Q	27	8	-1	-1	3	1	2	0
NS16444G	11	2	3	2	1	5	1	9
NS16448L	26	10	-1	-1	3	1	1	2
NS16486M	26	3	2	1	1	3	2	5
NS16486M	27	2	2	1	1	3	1	2
NS16496G	11	5	0	-9	3	3	1	11
NS16496G	26	4	0	-9	3	3	2	2
NS16546L	11	2	5	1	1	4	2	10
NS16564Y	26	8	-1	-1	3	1	1	3
NS16565Z	26	8	-1	-1	3	1	1	14
NS16579Y	11	3	2	3	3	1	2	7
NS16592E	11	9	-1	-1	-1	-1	1	10
NS16592E	26	3	1	1	1	4	2	3
NS16599M	12	3	1	1	1	2	1	11
NS16599M	13	3	1	1	1	2	2	10
NS16602F	11	8	-1	-1	1	1	2	14
NS16602F	26	2	0	6	1	3	1	1
NS16606K	26	3	0	-9	2	4	1	4
NS16610Y	11	3	5	3	1	4	1	9
NS16610Y	26	3	5	3	1	4	2	6
NS16625Y	26	2	-9	-9	-9	4	2	7
NS16625Y	27	2	-9	-9	-9	4	1	3
NS16625Y	28	-9	-9	-9	-9	4	1	1
NS16661X	11	10	-1	-1	1	5	2	7
NS16678Z	26	6	0	6	2	1	2	15
NS16678Z	27	6	0	6	2	1	1	13
NS16697M	26	10	-1	-1	1	4	1	1
NS16701G	26	10	-1	-1	1	5	2	2
NS16709Q	13	10	-1	-1	3	5	2	9
NS16709Q	14	10	-1	-1	3	5	2	8
NS16709Q	26	10	-1	-1	3	5	1	1
NS16709Q	27	10	-1	-1	3	5	1	1
NS16723Y	12	1	2	3	2	2	1	11
NS16723Y	13	3	2	1	1	5	2	7
NS16747R	11	5	0	1	3	1	2	10
NS16784R	26	8	-1	-1	1	1	1	14
NS16794L	26	6	0	-9	1	5	2	11
NS16794L	27	1	3	1	1	5	1	1
NS16804M	11	3	8	3	1	5	1	15
NS16804M	12	2	10	3	1	5	1	11
NS16804M	13	7	0	6	3	2	2	7
NS16809S	26	4	2	2	1	3	1	5
NS16846S	12	1	0	6	3	5	2	16
NS16846S	13	1	0	6	3	5	2	14
NS16846S	14	2	0	6	3	5	1	13
NS16846S	15	2	0	6	3	5	2	11
NS16846S	16	2	0	6	3	5	1	10
NS16846S	18	3	0	6	3	5	1	8
NS16862C	26	1	7	1	1	5	2	3
NS16884T	12	3	2	1	2	3	2	8
NS16884T	26	3	2	1	2	3	2	3
NS16895P	11	3	1	1	1	3	1	13
NS16895P	12	8	-1	-1	2	1	2	8
NS16895P	26	8	-1	-1	2	1	2	7
NS16899T	12	8	-1	-1	3	1	1	12
NS16899T	13	8	-1	-1	3	1	2	8
NS16904P	12	2	4	1	3	4	1	8
NS16904P	26	2	4	1	3	4	2	4
NS16909V	26	5	3	4	3	1	2	6
NS16911F	11	8	3	1	3	3	2	11
NS16911F	12	8	-1	-1	3	3	1	9
NS16911F	26	8	-1	-1	3	3	2	3
NS16916L	26	10	-1	-1	3	5	-9	4
NS16925E	11	8	-1	-1	3	1	2	8
NS16939D	26	4	1	2	3	2	2	3
NS16989B	26	2	0	-8	3	4	2	13
NS17012H	26	3	2	1	1	4	1	4
NS17015L	12	8	-1	-1	3	1	1	10
NS17015L	13	2	7	2	3	5	2	8
NS17015L	14	2	7	2	3	5	1	7
NS17017N	12	3	3	2	1	2	2	11
NS17017N	13	3	3	2	1	2	2	6
NS17017N	26	3	3	2	1	2	2	4
NS17056Q	26	2	14	3	3	2	1	4
NS17072A	11	7	0	1	1	1	2	9
NS17083W	26	3	2	2	3	2	1	3
NS17083W	27	3	2	2	3	2	1	1
NS17087A	12	2	3	1	3	4	2	7
NS17112K	11	8	-1	-1	3	1	2	10
NS17112K	12	8	-1	-1	3	1	1	8
NS17133A	11	5	3	6	3	1	2	13
NS17147Z	26	2	3	1	1	5	2	9
NS17164K	11	1	-9	-9	1	4	2	10
NS17164K	26	1	-9	-9	1	4	2	1
NS17214P	26	10	-1	-1	1	5	1	1
NS17218T	11	4	2	2	2	3	1	10
NS17229P	26	2	11	2	3	2	1	7
NS17231A	12	10	-1	-1	1	4	2	13
NS17231A	13	10	-1	-1	1	4	2	11
NS17231A	14	10	-1	-1	1	4	1	7
NS17231A	26	10	-1	-1	1	4	2	1
NS17233C	12	4	8	3	1	3	2	7
NS17233C	27	4	8	3	1	2	1	2
NS17234D	11	7	0	-9	3	1	2	8
NS17239J	11	2	3	1	3	3	2	13
NS17239J	26	8	-1	-1	3	1	2	3
NS17239J	27	2	3	1	3	4	2	0
NS17251P	26	6	0	6	3	1	2	16
NS17251P	27	3	1	1	3	5	1	12
NS17251P	28	3	1	1	3	5	2	11
NS17253R	26	2	0	1	1	5	2	1
NS17270C	12	2	2	1	1	5	2	8
NS17285C	26	4	1	2	1	3	1	2
NS17290R	26	3	3	2	1	1	2	12
NS17290R	27	3	3	2	1	1	2	6
NS17306Z	12	5	2	3	2	1	1	11
NS17306Z	13	2	2	1	1	3	2	7
NS17321H	26	5	0	4	1	2	1	4
NS17321H	27	5	0	4	1	2	2	2
NS17360K	11	4	0	3	1	1	2	7
NS17360K	12	8	-1	-1	1	1	2	10
NS17438M	26	3	2	2	3	1	2	11
NS17438M	27	1	2	2	3	1	1	10
NS17438M	28	1	2	1	1	5	1	0
NS17449H	26	8	-1	-1	2	1	2	12
NS17449H	27	8	-1	-1	3	1	1	3
NS17459C	12	3	3	2	1	3	2	6
NS17469X	27	2	3	1	3	5	1	1
NS17491X	27	10	-1	-1	1	5	1	5
NS17499F	26	10	-1	-1	1	5	2	0
NS17530F	26	8	-1	-1	3	1	1	11
NS17530F	27	2	12	2	3	4	1	3
NS17536M	11	3	0	-8	3	3	2	16
NS17536M	26	1	2	1	1	5	2	1
NS17600Z	26	1	3	1	1	5	2	2
NS17619D	26	10	-1	-1	3	5	1	0
NS17629Y	26	2	12	2	1	3	2	9
NS17659G	26	2	6	3	1	5	1	8
NS17659G	27	2	6	3	1	5	2	5
NS17679W	26	1	2	1	1	3	1	7
NS17679W	27	1	2	1	1	3	1	3
NS17721R	12	8	-1	-1	3	1	2	15
NS17721R	13	8	-1	-1	1	1	1	13
NS17732M	11	1	-9	-9	1	5	1	11
NS17732M	26	1	-9	-9	1	5	2	4
NS17735Q	26	8	-1	-1	2	1	2	14
NS17735Q	27	1	15	3	1	5	2	10
NS17735Q	28	1	15	3	1	5	2	4
NS17777W	26	8	-1	-1	3	1	-9	3
NS17777W	27	8	-1	-1	3	1	-9	2
NS17792E	26	3	7	2	3	1	1	8
NS17792E	27	3	7	2	3	1	1	5
NS17803G	12	2	0	1	1	3	1	12
NS17803G	13	2	0	1	1	3	2	9
NS17803G	26	2	0	1	1	3	1	6
NS17803G	27	2	0	1	1	3	1	3
NS17803G	28	2	0	1	1	3	1	0
NS17805J	11	4	1	4	1	3	2	10
NS17809N	11	2	2	2	1	4	1	11
NS17818G	26	10	-1	-1	1	5	1	0
NS17824X	12	8	-1	-1	3	1	1	11
NS17824X	13	8	-1	-1	3	1	1	10
NS17824X	14	3	4	2	1	5	1	8
NS17831N	26	10	-1	-1	1	5	1	0
NS17848Q	12	3	1	1	1	2	1	12
NS17853E	26	1	-9	-9	3	-9	1	1
NS17857J	26	2	7	2	3	4	1	8
NS17857J	28	10	14	2	1	5	2	3
NS17868E	11	4	80	6	3	1	1	13
NS17879A	11	2	2	1	3	3	2	10
NS17894J	26	2	2	1	1	3	2	2
NS17942L	12	8	-1	-1	3	1	1	12
NS17958M	12	10	-1	-1	1	5	2	10
NS17958M	13	10	-1	-1	1	5	1	8
NS17975Y	26	1	2	1	3	5	2	0
NS17978B	28	1	5	1	3	3	1	6
NS17978B	29	1	5	1	3	3	2	5
NS17979C	26	4	2	2	1	1	1	15
NS17983Q	26	8	-1	-1	3	1	2	3
NS18013E	26	7	0	6	1	1	1	6
NS18022Y	12	2	14	3	3	1	2	14
NS18057M	11	2	4	1	3	5	2	11
NS18066F	26	10	-1	-1	1	5	2	5
NS18066F	27	10	-1	-1	1	5	2	2
NS18073X	12	8	-1	-1	2	1	2	10
NS18073X	13	8	-1	-1	2	1	1	7
NS18073X	26	8	-1	-1	2	1	2	2
NS18116K	26	1	-9	-9	1	5	2	4
NS18116K	27	1	-8	-9	1	5	1	0
NS18178E	26	3	3	1	1	4	2	3
NS18214K	11	8	-1	-1	3	1	2	14
NS18214K	12	8	-1	-1	3	1	1	12
NS18214K	13	8	-1	-1	3	1	1	8
NS18214K	26	2	0	1	1	5	2	2
NS18253M	12	7	0	6	1	1	1	14
NS18258S	12	1	0	-9	1	5	1	15
NS18258S	13	1	0	-9	1	5	1	14
NS18258S	14	1	0	-9	1	5	2	10
NS18258S	26	1	0	-9	1	5	1	2
NS18271Z	26	7	0	6	2	1	1	1
NS18293Q	26	2	4	1	3	1	1	5
NS18317Q	26	3	0	1	1	2	1	1
NS18317Q	27	3	0	1	1	2	2	11
NS18321D	26	2	0	1	1	5	1	2
NS18345X	11	1	12	2	3	2	1	11
NS18350L	26	1	4	1	3	4	2	9
NS18352N	11	8	-1	-1	3	1	1	12
NS18367N	12	5	0	1	2	1	1	10
NS18368P	26	3	1	1	1	3	2	11
NS18368P	27	3	1	1	1	3	2	7
NS18378J	26	10	-1	-1	1	5	1	6
NS18380V	26	-9	-9	-9	-9	-9	2	-9
NS18422G	12	2	-9	-9	1	5	1	11
NS18422G	13	2	-9	-9	1	5	2	9
NS18424J	26	8	-1	-1	3	1	1	6
NS18454S	27	8	-1	-1	3	1	1	10
NS18490R	12	2	3	1	3	4	2	8
NS18490R	26	2	3	1	3	4	1	2
NS18503W	26	8	-1	-1	1	1	1	6
NS18503W	27	2	0	1	3	4	2	0
NS18508B	26	8	-1	-1	3	1	-9	3
NS18542Y	26	6	0	6	3	4	2	5
NS18553T	11	3	1	1	3	1	2	9
NS18553T	12	3	1	1	3	1	2	7
NS18553T	26	3	1	1	3	1	1	5
NS18553T	27	3	1	1	3	1	1	2
NS18556X	26	3	0	-9	3	1	2	7
NS18556X	27	3	0	-9	2	4	2	2
NS18564P	26	2	3	1	1	5	2	5
NS18580Z	26	1	3	1	3	5	2	10
NS18580Z	27	1	3	1	3	5	1	7
NS18597B	26	10	-1	-1	3	5	1	2
NS18611Q	26	5	1	3	2	1	2	13
NS18612R	26	2	5	1	3	2	1	11
NS18615V	26	2	5	1	1	4	2	11
NS18678Q	26	5	21	4	3	3	1	3
NS18721M	26	8	-1	-1	3	1	1	4
NS18722N	12	5	6	4	3	2	1	12
NS18725R	12	2	3	1	1	5	1	10
NS18737N	26	1	7	1	1	5	2	0
NS18751W	26	7	-9	1	2	1	1	4
NS18751W	27	3	-9	1	2	1	2	1
NS18771K	11	3	2	1	3	4	2	8
NS18771K	12	3	2	1	3	4	2	11
NS18771K	26	3	2	1	3	4	2	11
NS18771K	27	3	2	1	3	4	1	2
NS18783G	26	10	-1	-1	1	5	-9	5
NS18809J	26	2	10	3	3	5	1	2
NS18863V	26	2	4	1	1	5	2	2
NS18865X	26	2	2	2	1	1	1	9
NS18865X	27	1	2	2	1	3	2	6
NS18865X	28	1	2	2	1	3	2	4
NS18865X	29	1	2	2	1	3	2	2
NS18868A	12	6	5	6	1	2	1	8
NS18885L	26	8	-1	-1	3	1	1	2
NS18888P	11	1	-8	-8	-8	5	2	10
NS18888P	12	-8	-8	-8	-8	-8	1	8
NS18888P	26	-8	-8	-8	-8	-8	1	2
NS18889Q	13	3	0	6	3	2	1	11
NS18889Q	14	3	0	6	3	2	1	10
NS18889Q	15	3	0	6	3	2	1	7
NS18889Q	26	3	0	6	3	2	2	6
NS18917D	26	10	-1	-1	3	5	2	2
NS18931L	26	3	2	2	1	5	1	4
NS18958H	26	10	-1	-1	1	5	2	0
NS18980H	12	2	2	1	1	3	1	12
NS18992E	26	8	-1	-1	3	1	1	12
NS18992E	27	3	2	2	1	3	1	9
NS18992E	28	10	-1	-1	1	4	1	2
NS19019G	26	2	6	1	1	2	2	10
NS19032N	26	6	12	5	-9	1	1	13
NS19032N	27	6	1	6	-9	1	2	9
NS19038V	11	8	-1	-1	3	1	1	13
NS19038V	26	3	1	2	3	1	2	6
NS19096K	12	5	1	3	1	3	2	12
NS19109P	26	4	2	2	1	2	2	4
NS19127B	11	8	-1	-1	3	1	2	13
NS19131P	26	8	-1	-1	3	1	2	8
NS19132Q	26	4	4	3	1	1	1	9
NS19132Q	27	4	4	3	1	1	2	7
NS19167E	26	10	-1	-1	1	5	1	1
NS19177Z	26	10	-1	-1	1	5	1	4
NS19214F	26	2	0	1	3	1	2	3
NS19214F	27	2	0	1	3	1	1	1
NS19221X	12	3	2	1	2	4	1	8
NS19257M	11	6	1	5	2	1	2	11
NS19267G	12	2	3	1	3	3	1	12
NS19267G	26	2	3	1	3	3	1	12
NS19309T	11	8	-1	-1	3	1	2	12
NS19309T	26	2	0	6	3	3	2	3
NS19309T	27	2	0	6	3	3	1	0
NS19345S	11	3	1	1	1	1	2	8
NS19348W	11	8	-1	-1	3	1	2	8
NS19360B	26	6	0	6	1	2	2	13
NS19360B	27	5	42	6	2	3	1	9
NS19402N	26	8	-1	-1	3	1	1	12
NS19408V	12	2	0	1	3	3	2	10
NS19408V	26	2	0	1	3	3	2	5
NS19419Q	11	6	0	6	3	2	1	15
NS19419Q	12	8	-1	-1	3	1	2	12
NS19422C	11	3	1	1	3	1	2	13
NS19422C	12	8	-1	-1	3	1	1	8
NS19493Q	11	7	0	6	3	1	1	10
NS19493Q	26	8	-1	-1	3	1	1	0
NS19505T	28	2	0	6	2	5	2	3
NS19505T	29	2	0	6	2	5	2	1
NS19515N	26	8	-1	-1	2	1	2	1
NS19524G	26	4	0	1	3	1	1	9
NS19553P	29	10	-1	-1	1	5	2	4
NS19571B	11	1	0	-9	1	5	2	11
NS19571B	26	1	0	-9	1	5	2	4
NS19571B	27	1	0	-9	1	5	1	1
NS19578J	12	8	-1	-1	3	1	1	13
NS19584Z	26	5	5	4	1	2	1	10
NS19591Q	26	7	0	5	2	1	1	2
NS19594T	26	6	0	6	3	1	2	13
NS19594T	27	6	0	6	3	1	2	7
NS19594T	28	4	28	6	3	1	1	5
NS19623H	26	3	2	1	3	5	2	4
NS19667Q	26	10	-1	-1	1	5	1	0
NS19678L	26	1	3	1	1	4	2	5
NS19684B	12	10	-1	-1	3	4	1	7
NS19684B	26	10	-1	-1	3	4	2	5
NS19688F	11	3	1	1	1	1	1	14
NS19688F	12	3	1	1	1	1	2	10
NS19695X	12	4	2	2	3	3	1	15
NS19695X	13	4	2	2	3	3	1	14
NS19705Y	13	4	2	2	1	1	2	7
NS19705Y	29	4	0	1	1	1	1	1
NS19721H	26	1	3	1	3	5	1	11
NS19721H	27	1	7	1	3	5	1	3
NS19721H	28	1	7	1	3	5	2	0
NS19725M	26	6	0	6	3	1	1	4
NS19725M	27	8	-1	-1	3	1	2	2
NS19725M	28	8	-1	-1	3	1	1	0
NS19749F	26	9	-1	-1	-1	-1	1	11
NS19749F	27	9	-1	-1	-1	-1	1	9
NS19751R	26	2	3	1	3	3	2	5
NS19752S	26	6	12	6	2	2	2	6
NS19758Z	26	2	2	3	2	2	2	8
NS19758Z	27	2	2	3	2	2	1	5
NS19761L	26	2	1	1	1	4	1	12
NS19761L	27	2	1	1	1	4	2	6
NS19770E	26	1	14	2	1	5	1	9
NS19770E	27	1	14	2	1	5	2	6
NS19770E	28	1	14	2	1	5	1	0
NS19772G	26	1	0	1	3	5	2	7
NS19772G	27	1	0	1	3	5	2	6
NS19772G	28	1	0	1	3	5	1	1
NS19775K	26	10	-1	-1	1	4	1	2
NS19780Z	12	4	0	6	2	2	2	8
NS19780Z	26	3	2	1	1	4	1	3
NS19787G	26	3	7	2	1	4	1	2
NS19790T	11	8	-1	-1	2	1	2	10
NS19792W	11	7	0	-8	1	1	2	17
NS19792W	12	7	0	-8	1	1	1	14
NS19792W	13	2	2	1	3	4	1	7
NS19792W	26	2	0	-8	3	4	2	1
NS19845D	12	7	0	6	3	1	1	12
NS19845D	13	7	0	6	3	1	1	10
NS19845D	26	7	0	6	3	1	2	5
NS19853W	26	10	-1	-1	1	5	2	1
NS19866T	26	2	0	-9	1	4	1	14
NS19866T	27	2	0	6	1	4	1	12
NS19866T	28	2	0	6	1	4	2	11
NS19866T	29	2	0	6	1	4	2	9
NS19866T	30	2	0	6	1	4	1	8
NS19866T	31	2	0	6	1	4	2	6
NS19885G	11	8	-1	-1	3	1	1	14
NS19916Y	26	8	-1	-1	3	1	-9	7
NS19918A	26	2	3	1	3	5	2	6
NS19927T	26	4	2	2	1	4	1	9
NS19927T	27	4	2	2	1	4	1	4
NS19927T	28	4	2	2	1	4	2	3
NS19944E	26	1	7	1	1	5	2	14
NS19944E	27	1	7	1	1	5	1	13
NS19944E	28	1	7	1	1	5	1	3
NS19949K	11	7	0	6	3	1	2	11
NS19949K	12	7	0	6	3	1	2	9
NS19949K	26	7	0	6	3	1	2	11
NS19949K	27	7	0	6	3	1	2	9
NS19949K	28	7	0	6	3	1	1	3
NS19954Z	26	2	-9	-9	-9	-9	1	8
NS19962R	26	3	1	1	3	4	1	11
NS19962R	27	8	-1	-1	3	1	2	12
NS19970J	11	3	2	1	1	2	1	11
NS19970J	12	3	2	1	1	2	1	8
NS19985J	26	3	0	6	3	3	1	3
NS19987L	11	8	-1	-1	3	1	1	8
NS19993B	11	2	4	1	3	4	2	9
NS19999H	11	4	7	2	3	5	2	10
NS20017D	26	3	1	4	1	2	1	1
NS20036R	12	4	1	3	3	1	1	14
NS20036R	13	8	-1	-1	3	1	1	12
NS20057G	26	3	1	2	1	4	2	9
NS20057G	27	3	1	2	1	4	1	6
NS20064Y	26	7	0	6	3	1	1	10
NS20075T	26	4	1	1	3	1	1	4
NS20075T	27	4	1	1	3	4	2	3
NS20085N	12	2	4	1	3	4	2	11
NS20085N	13	2	5	1	3	4	2	9
NS20089S	11	8	-1	-1	3	1	2	8
NS20105J	12	6	2	6	3	1	2	15
NS20121T	27	6	7	4	3	1	2	3
NS20121T	28	3	2	1	1	5	1	1
NS20147P	26	4	2	3	2	3	1	9
NS20148Q	12	5	2	2	1	2	1	9
NS20163Z	12	1	7	1	1	3	2	11
NS20163Z	13	1	7	1	1	3	1	9
NS20169F	12	4	1	4	2	3	2	10
NS20186R	26	2	0	6	2	3	2	0
NS20189V	26	6	0	6	3	1	2	15
NS20189V	27	4	2	2	3	1	1	12
NS20189V	28	4	2	2	3	1	2	7
NS20195K	12	3	2	2	1	5	2	12
NS20197M	12	2	0	1	1	1	1	10
NS20197M	26	2	0	1	1	1	2	5
NS20197M	27	2	0	1	1	3	1	4
NS20197M	28	2	0	1	1	1	2	3
NS20197M	29	2	0	1	1	1	1	10
NS20231Q	11	2	4	1	1	3	1	8
NS20231Q	26	2	4	1	1	3	1	6
NS20287V	11	8	-1	-1	1	1	2	13
NS20287V	12	9	-1	-1	-1	-1	1	10
NS20287V	26	8	-1	-1	3	1	2	3
NS20335X	26	2	4	1	3	4	2	5
NS20335X	27	2	4	1	3	4	2	4
NS20367H	12	1	0	1	3	3	2	7
NS20367H	26	1	0	1	3	3	1	4
NS20400K	26	1	-9	1	1	5	2	0
NS20418N	11	3	0	-8	2	1	1	8
NS20433X	26	2	3	1	3	5	1	6
NS20475C	11	8	-1	-1	3	1	1	15
NS20475C	13	8	-1	-1	3	1	1	12
NS20476D	11	4	2	2	1	3	1	12
NS20476D	12	2	5	2	1	4	2	8
NS20515M	26	4	1	2	1	2	2	13
NS20515M	27	4	1	2	1	2	2	10
NS20515M	28	3	0	1	1	5	2	1
NS20517P	11	8	-1	-1	3	1	1	9
NS20533Z	11	2	4	1	1	5	1	12
NS20533Z	26	10	-1	-1	1	5	2	2
NS20558T	11	3	2	1	3	1	1	12
NS20558T	12	2	2	1	3	1	1	11
NS20559V	12	1	0	6	1	5	2	12
NS20559V	13	1	0	6	1	5	1	7
NS20573C	12	2	3	1	3	2	2	9
NS20581V	11	1	2	1	1	4	1	8
NS20589D	26	7	0	6	2	2	2	2
NS20599Y	12	8	-1	-1	1	1	2	12
NS20599Y	13	8	-1	-1	1	1	1	9
NS20601Q	26	1	0	1	1	3	1	16
NS20601Q	27	1	0	1	1	3	2	14
NS20601Q	28	1	0	1	1	3	2	10
NS20601Q	29	1	0	1	1	3	2	3
NS20611K	12	4	1	3	2	3	2	10
NS20611K	26	4	1	5	2	3	1	1
NS20626K	26	1	-8	2	1	5	2	7
NS20626K	27	1	-8	1	1	5	2	4
NS20632A	12	4	2	2	1	3	1	8
NS20632A	13	4	2	2	1	3	2	7
NS20636E	26	10	-1	-1	1	5	2	0
NS20649C	26	3	1	1	1	2	2	4
NS20650M	11	8	-1	-1	1	1	1	12
NS20650M	12	2	3	1	1	5	2	7
NS20650M	26	2	3	1	1	5	1	4
NS20652P	26	10	-1	-1	1	4	1	2
NS20657V	26	8	-1	-1	3	1	2	12
NS20682Y	26	10	-1	-1	3	5	1	0
NS20687D	12	3	2	1	3	3	1	7
NS20687D	26	3	2	1	3	3	2	4
NS20730A	26	6	2	4	1	1	2	12
NS20753S	11	3	1	1	3	4	2	7
NS20753S	26	3	1	1	3	4	1	5
NS20754T	11	8	-1	-1	3	1	2	15
NS20784C	11	3	0	1	1	3	2	11
NS20784C	27	3	0	1	1	3	2	4
NS20815T	11	2	7	1	3	2	2	12
NS20815T	12	2	7	1	3	3	2	8
NS20828R	26	3	1	1	1	3	1	3
NS20830C	12	4	2	2	3	1	2	12
NS20830C	13	4	2	2	3	1	1	11
NS20857Z	11	8	-1	-1	3	1	2	10
NS20857Z	26	8	-1	-1	3	1	1	5
NS20872H	12	5	3	6	3	1	2	15
NS20872H	13	2	3	2	1	2	1	13
NS20872H	14	2	3	2	1	2	1	8
NS20872H	26	2	3	2	1	2	1	3
NS20883D	12	8	-1	-1	1	1	2	9
NS20892X	11	7	0	-9	3	1	2	13
NS20912S	26	1	1	1	3	5	2	3
NS20921L	12	3	3	1	1	4	2	8
NS20922M	26	1	-9	-9	3	4	1	1
NS20922M	27	1	7	-9	3	4	2	1
NS20925Q	26	2	-9	-9	1	4	1	3
NS20925Q	27	8	-1	-1	1	1	2	0
NS20931F	26	1	0	1	1	3	1	0
NS20940Z	26	10	-1	-1	1	5	1	1
NS20943C	26	4	2	2	3	4	2	12
NS21002Z	11	2	3	1	3	3	2	10
NS21019B	26	6	0	6	3	1	2	11
NS21027T	11	8	-1	-1	3	5	2	6
NS21027T	26	8	-1	-1	3	1	2	5
NS21027T	27	8	0	-1	3	1	2	1
NS21104D	26	2	6	1	1	5	1	1
NS21105E	12	5	2	3	1	3	1	13
NS21119D	12	4	3	2	3	1	1	11
NS21119D	13	4	3	2	3	1	1	7
NS21151Y	26	7	3	5	2	1	2	3
NS21167Z	26	10	-1	-1	1	4	1	2
NS21182H	26	8	-1	-1	2	1	1	11
NS21192C	15	3	1	1	3	3	1	8
NS21199K	12	3	0	6	1	1	1	7
NS21199K	26	3	0	6	1	1	1	6
NS21209L	12	8	-1	-1	1	1	2	10
NS21209L	26	4	2	3	1	1	1	5
NS21210W	27	1	1	1	1	5	2	7
NS21218E	12	2	7	2	3	5	2	7
NS21218E	26	2	7	2	3	5	1	4
NS21242G	11	5	3	6	3	1	1	11
NS21242G	12	5	3	6	3	1	1	8
NS21242G	26	5	3	6	3	1	1	5
NS21245K	11	8	-1	-1	2	1	1	11
NS21285N	11	1	-8	-8	-8	5	1	13
NS21285N	12	1	-8	-8	3	5	1	8
NS21312A	26	2	7	2	3	4	1	5
NS21312A	27	2	7	2	3	4	2	3
NS21327A	11	3	2	1	3	5	1	8
NS21330M	26	2	5	1	1	5	2	8
NS21330M	27	1	7	1	1	5	1	2
NS21338W	26	5	0	6	3	1	2	-9
NS21338W	27	5	0	6	3	1	1	-9
NS21338W	28	8	-1	-1	3	1	2	-9
NS21338W	29	5	0	6	3	1	1	-9
NS21351C	26	7	0	6	3	1	1	14
NS21351C	27	4	2	2	2	1	2	10
NS21351C	28	2	0	1	1	3	2	3
NS21380K	11	10	-1	-1	3	5	2	6
